>>>>>>>>>>List of all process<<<<<<<<<<
 PID 			Name				Username			Creation datetime			CPU %			Memory %
108			loginwindow				root			04/19/2021, 00:00:00			0.00 %			0.34 %
416			coreauthd				a744885			04/19/2021, 00:00:00			0.00 %			0.06 %
418			cfprefsd				a744885			04/19/2021, 00:00:00			0.00 %			0.03 %
419			UserEventAgent				a744885			04/19/2021, 00:00:00			0.00 %			0.21 %
421			distnoted				a744885			04/19/2021, 00:00:00			0.00 %			0.03 %
426			CommCenter				a744885			04/19/2021, 00:00:00			0.00 %			0.18 %
428			lsd				a744885			04/19/2021, 00:00:00			0.00 %			0.06 %
430			trustd				a744885			04/19/2021, 00:00:00			0.00 %			0.10 %
431			secd				a744885			04/19/2021, 00:00:00			0.00 %			0.08 %
433			backgroundtaskmanagementagent				a744885			04/19/2021, 00:00:00			0.00 %			0.04 %
435			cloudd				a744885			04/19/2021, 00:00:00			0.00 %			0.17 %
436			spindump_agent				a744885			04/19/2021, 00:00:00			0.00 %			0.03 %
439			callservicesd				a744885			04/19/2021, 00:00:00			0.00 %			0.16 %
440			rapportd				a744885			04/19/2021, 00:00:00			0.00 %			0.10 %
442			accountsd				a744885			04/19/2021, 00:00:00			0.00 %			0.05 %
443			talagent				a744885			04/19/2021, 00:00:00			0.00 %			0.10 %
444			Dock				a744885			04/19/2021, 00:00:00			0.00 %			0.57 %
445			identityservicesd				a744885			04/19/2021, 00:00:00			0.00 %			0.10 %
447			tccd				a744885			04/19/2021, 00:00:00			0.00 %			0.06 %
448			imagent				a744885			04/19/2021, 00:00:00			0.00 %			0.13 %
449			SystemUIServer				a744885			04/19/2021, 00:00:00			0.00 %			0.35 %
450			nsurlsessiond				a744885			04/19/2021, 00:00:00			0.00 %			0.10 %
451			pboard				a744885			04/19/2021, 00:00:00			0.00 %			0.04 %
452			Finder				a744885			04/19/2021, 00:00:00			0.00 %			0.63 %
453			IMDPersistenceAgent				a744885			04/19/2021, 00:00:00			0.00 %			0.10 %
457			VTDecoderXPCService				a744885			04/19/2021, 00:00:00			0.00 %			0.10 %
458			CloudKeychainProxy				a744885			04/19/2021, 00:00:00			0.00 %			0.03 %
459			bird				a744885			04/19/2021, 00:00:00			0.00 %			0.09 %
460			ContactsAccountsService				a744885			04/19/2021, 00:00:00			0.00 %			0.10 %
461			usernoted				a744885			04/19/2021, 00:00:00			0.00 %			0.10 %
463			ViewBridgeAuxiliary				a744885			04/19/2021, 00:00:00			0.00 %			0.08 %
465			sharedfilelistd				a744885			04/19/2021, 00:00:00			0.00 %			0.05 %
468			fontd				a744885			04/19/2021, 00:00:00			0.00 %			0.06 %
470			NotificationCenter				a744885			04/19/2021, 00:00:00			0.00 %			0.39 %
474			IMRemoteURLConnectionAgent				a744885			04/19/2021, 00:00:00			0.00 %			0.06 %
475			sharingd				a744885			04/19/2021, 00:00:00			0.00 %			0.19 %
479			nsurlstoraged				a744885			04/19/2021, 00:00:00			0.00 %			0.06 %
480			fmfd				a744885			04/19/2021, 00:00:00			0.00 %			0.12 %
482			soagent				a744885			04/19/2021, 00:00:00			0.00 %			0.17 %
483			useractivityd				a744885			04/19/2021, 00:00:00			0.00 %			0.06 %
484			IMRemoteURLConnectionAgent				a744885			04/19/2021, 00:00:00			0.00 %			0.06 %
486			IMRemoteURLConnectionAgent				a744885			04/19/2021, 00:00:00			0.00 %			0.03 %
487			corespeechd				a744885			04/19/2021, 00:00:00			0.00 %			0.14 %
489			routined				a744885			04/19/2021, 00:00:00			0.00 %			0.19 %
492			SocialPushAgent				a744885			04/19/2021, 00:00:00			0.00 %			0.08 %
497			dmd				a744885			04/19/2021, 00:00:00			0.00 %			0.09 %
498			imklaunchagent				a744885			04/19/2021, 00:00:00			0.00 %			0.07 %
499			icdd				a744885			04/19/2021, 00:00:00			0.00 %			0.09 %
500			logger				a744885			04/19/2021, 00:00:00			0.00 %			0.17 %
502			Code42Desktop				a744885			04/19/2021, 00:00:00			0.00 %			0.38 %
503			xagtnotif				a744885			04/19/2021, 00:00:00			0.00 %			0.10 %
504			PulseTray				a744885			04/19/2021, 00:00:00			0.00 %			0.34 %
505			CalendarAgent				a744885			04/19/2021, 00:00:00			0.00 %			0.19 %
507			postgres				a744885			04/19/2021, 00:00:00			0.00 %			0.03 %
508			AirPlayUIAgent				a744885			04/19/2021, 00:00:00			0.00 %			0.10 %
510			knowledge-agent				a744885			04/19/2021, 00:00:00			0.00 %			0.08 %
511			cloudpaird				a744885			04/19/2021, 00:00:00			0.00 %			0.11 %
513			nbagent				a744885			04/19/2021, 00:00:00			0.00 %			0.14 %
514			diagnostics_agent				a744885			04/19/2021, 00:00:00			0.00 %			0.10 %
515			adprivacyd				a744885			04/19/2021, 00:00:00			0.00 %			0.10 %
517			iconservicesagent				a744885			04/19/2021, 00:00:00			0.00 %			0.08 %
518			Spotlight				a744885			04/19/2021, 00:00:00			0.00 %			0.45 %
519			ctkahp				a744885			04/19/2021, 00:00:00			0.00 %			0.05 %
522			com.apple.dock.extra				a744885			04/19/2021, 00:00:00			0.00 %			0.19 %
523			ControlStrip				a744885			04/19/2021, 00:00:00			0.00 %			0.24 %
524			Atlassian Companion				a744885			04/19/2021, 00:00:00			0.00 %			0.39 %
525			networkserviceproxy				a744885			04/19/2021, 00:00:00			0.00 %			0.06 %
526			APFSUserAgent				a744885			04/19/2021, 00:00:00			0.00 %			0.03 %
527			storeaccountd				a744885			04/19/2021, 00:00:00			0.00 %			0.09 %
532			pbs				a744885			04/19/2021, 00:00:00			0.00 %			0.04 %
534			WiFiAgent				a744885			04/19/2021, 00:00:00			0.00 %			0.10 %
536			ctkd				a744885			04/19/2021, 00:00:00			0.00 %			0.06 %
537			SafeEjectGPUAgent				a744885			04/19/2021, 00:00:00			0.00 %			0.05 %
